영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,장르2,등급_le,관람객수_le,계절_le,계절,관객수_등급,장르_le
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020,11,131.0,1283.0,애니메이션,전체관람가,9.53,6.5,8.015,0,2,949,2,3,2,0
스푸트닉,(주)제이앤씨미디어그룹,2021,2,83.0,1191.0,SF,15세이상관람가,5.9,6.0,5.95,13,1,924,3,4,2,13
정브르의 동물일기,CGV ICECON,2021,2,51.0,987.0,다큐멘터리,전체관람가,8.5,5.979047619047619,7.23952380952381,8,2,854,3,4,2,8
늑대와 빨간 재킷,판씨네마(주),2021,2,74.0,950.0,스릴러,청소년관람불가,5.38,3.5,4.4399999999999995,7,3,838,3,4,2,7
간이역,(주)드림팩트엔터테인먼트,2021,2,48.0,852.0,드라마,12세이상관람가,7.4,3.5,5.45,2,0,769,3,4,2,2
블라인드,주식회사 컨텐츠썬,2021,1,239.0,843.0,드라마,15세이상관람가,9.35,5.67,7.51,2,1,763,3,4,2,2
큰엄마의 미친봉고,(주)백그림,2021,1,67.0,830.0,코미디,12세이상관람가,6.04,6.0,6.02,6,0,754,3,4,2,6
더 시크릿,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021,1,72.0,755.0,스릴러,15세이상관람가,6.67,6.55,6.609999999999999,7,1,700,3,4,2,7
관계의 가나다에 있는 우리는,(주)시네마달,2021,1,39.0,723.0,드라마,전체관람가,8.38,5.5,6.94,2,2,675,3,4,2,2
조제,워너브러더스 코리아(주),2020,12,1179.0,709.0,멜로/로맨스,15세이상관람가,8.2,5.6,6.8999999999999995,3,1,662,3,4,2,3
아홉수 로맨스,(주)스튜디오 보난자,2021,2,24.0,608.0,멜로/로맨스,12세이상관람가,9.8,4.5,7.15,3,0,578,3,4,2,3
내겐 너무 어려운 연애,"(주)디오시네마,(주)태양미디어그룹",2021,2,32.0,602.0,코미디,12세이상관람가,7.39,6.0,6.695,6,0,575,3,4,2,6
런,(주)올스타엔터테인먼트,2020,11,799.0,568.0,미스터리,15세이상관람가,8.53,6.5,7.515,9,1,549,2,3,2,9
미드나잇 버스,(주)라이크콘텐츠,2021,2,26.0,559.0,드라마,12세이상관람가,8.42,6.0,7.21,2,0,543,3,4,2,2
테넷,워너브러더스 코리아(주),2020,8,2228.0,502.0,액션,12세이상관람가,8.73,7.25,7.99,1,0,499,1,2,2,1
제이티 르로이,(주)영화사 빅,2021,1,93.0,421.0,드라마,15세이상관람가,8.17,5.67,6.92,2,1,424,3,4,2,2
라스칼라 갈라 콘서트: 별들을 다시 보려고,일미디어,2021,2,10.0,366.0,공연,전체관람가,9.8,8.75,9.275,14,2,371,3,4,2,14
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120.0,365.0,드라마,15세이상관람가,9.15,9.5,9.325,2,1,370,3,4,2,2
원더 우먼 1984,워너브러더스 코리아(주),2020,12,2260.0,349.0,액션,12세이상관람가,7.54,5.5,6.52,1,0,355,3,4,2,1
극장판 기븐,(주)애니플러스,2020,11,103.0,342.0,애니메이션,15세이상관람가,7.845806451612903,5.0,6.422903225806452,0,1,349,2,3,2,0
바바 야가: 숲의 악령,주식회사 풍경소리,2021,2,5.0,300.0,공포(호러),15세이상관람가,6.5,4.868,5.684,5,1,307,3,4,2,5
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020,11,1363.0,277.0,드라마,12세이상관람가,8.31,5.0,6.655,2,0,284,2,3,2,2
파힘,(주)디스테이션,2021,1,165.0,275.0,드라마,전체관람가,8.16,5.33,6.745,2,2,282,3,4,2,2
BBC프롬스: 아르헤리치와 바렌보임 콘서트,(주)케빈앤컴퍼니,2021,2,13.0,252.0,공연,전체관람가,6.306428571428572,8.75,7.528214285714286,14,2,260,3,4,1,14
데스 숏컷,(주)박수엔터테인먼트,2021,2,10.0,241.0,판타지,15세이상관람가,2.62,3.0,2.81,10,1,250,3,4,1,10
커넥트,(주)이수C&E,2021,1,386.0,234.0,공포(호러),15세이상관람가,5.848333333333333,5.0,5.424166666666666,5,1,243,3,4,1,5
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149.0,200.0,애니메이션,15세이상관람가,9.5,6.476857142857143,7.988428571428571,0,1,209,2,3,1,0
마이 미씽 발렌타인,(주)트리플픽쳐스,2021,1,153.0,193.0,멜로/로맨스,12세이상관람가,8.63,6.0,7.315,3,0,202,3,4,1,3
라이브 하드,(주)드림팩트엔터테인먼트,2021,2,10.0,157.0,드라마,15세이상관람가,8.07,6.5,7.285,2,1,163,3,4,1,2
요요현상,영화배급협동조합 씨네소파,2021,1,27.0,128.0,다큐멘터리,전체관람가,9.33,6.67,8.0,8,2,133,3,4,1,8
사라센의 칼,(주)콘텐츠윙,2021,1,14.0,124.0,드라마,15세이상관람가,9.07,3.0,6.035,2,1,129,3,4,1,2
파티마의 기적,(주)디스테이션,2020,12,162.0,121.0,드라마,12세이상관람가,9.19,6.0,7.595,2,0,126,3,4,1,2
골든맨,예지림엔터테인먼트,2021,1,25.0,119.0,범죄,15세이상관람가,6.29,5.675,5.9825,4,1,124,3,4,1,4
에이리,(주)미디어캐슬,2021,1,1.0,118.0,미스터리,15세이상관람가,8.67,6.0,7.335,9,1,123,3,4,1,9
"그리고, 살아간다",(주)미디어캐슬,2021,1,1.0,117.0,드라마,12세이상관람가,7.83,6.042624113475177,6.936312056737588,2,0,122,3,4,1,2
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021,1,432.0,114.0,멜로/로맨스,12세이상관람가,8.52,5.0,6.76,3,0,118,3,4,1,3
일론 머스크: 리얼 아이언맨,(주)마노엔터테인먼트,2021,2,1.0,101.0,다큐멘터리,전체관람가,5.29,5.979047619047619,5.6345238095238095,8,2,104,3,4,1,8
운디네,M&M 인터내셔널,2020,12,42.0,100.0,드라마,12세이상관람가,8.38,8.0,8.190000000000001,2,0,103,3,4,1,2
게임의 법칙: 인간사냥,(주)제이앤씨미디어그룹,2021,1,20.0,93.0,스릴러,청소년관람불가,3.61,5.587999999999999,4.598999999999999,7,3,96,3,4,1,7
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,와이드 릴리즈(주),2020,11,187.0,89.0,애니메이션,전체관람가,9.0,7.0,8.0,0,2,92,2,3,1,0
족벌 두 신문 이야기,(주)엣나인필름,2021,1,10.0,89.0,다큐멘터리,12세이상관람가,9.93,5.5,7.715,8,0,92,3,4,1,8
천사는 바이러스,주식회사 씨엠닉스,2021,1,44.0,88.0,드라마,15세이상관람가,8.76,6.042624113475177,7.401312056737588,2,1,91,3,4,1,2
"오늘, 우리 2",필름다빈,2021,1,14.0,83.0,드라마,12세이상관람가,8.11,5.5,6.805,2,0,86,3,4,1,2
내언니전지현과 나,호우주의보,2020,12,36.0,82.0,다큐멘터리,12세이상관람가,9.21,6.67,7.94,8,0,85,3,4,1,8
438일,(주)에스와이코마드,2021,1,40.0,74.0,드라마,15세이상관람가,8.04,6.042624113475177,7.041312056737588,2,1,77,3,4,1,2
8년을 뛰어넘은 신부,(주)미디어캐슬,2021,5,1.0,69.0,가족,전체관람가,9.36,4.0,6.68,11,2,71,0,1,1,11
디노소어 어드벤쳐,(주)제이앤씨미디어그룹,2021,1,26.0,65.0,어드벤처,15세이상관람가,10.0,5.667777777777777,7.833888888888889,15,1,67,3,4,1,15
더 넌 : 돌아온 저주,(주)라온컴퍼니플러스,2021,2,1.0,60.0,공포(호러),15세이상관람가,3.5,4.868,4.184,5,1,61,3,4,1,5
우당탕탕 캠핑가족,(주)라온컴퍼니플러스,2021,2,1.0,60.0,코미디,12세이상관람가,0.0,5.6445,2.82225,6,0,61,3,4,1,6
홀리데이 헬,(주)라온컴퍼니플러스,2021,2,1.0,60.0,공포(호러),15세이상관람가,0.0,4.868,2.434,5,1,61,3,4,1,5
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494.0,59.0,드라마,15세이상관람가,9.43,6.0,7.715,2,1,59,3,4,1,2
음악,(주)미디어캐슬,2021,1,1.0,53.0,애니메이션,12세이상관람가,8.392941176470588,6.288809523809523,7.340875350140056,0,0,53,3,4,1,0
방황하는 네덜란드인,(주)케빈앤컴퍼니,2021,2,7.0,51.0,공연,12세이상관람가,0.0,8.75,4.375,14,0,51,3,4,1,14
장 미쉘 바스키아: 더 레이디언트 차일드,롯데컬처웍스(주)롯데엔터테인먼트,2020,12,18.0,51.0,다큐멘터리,12세이상관람가,9.0,5.804523809523809,7.402261904761905,8,0,51,3,4,1,8
크루아상,하준사,2021,1,42.0,49.0,드라마,12세이상관람가,9.8,3.5,6.65,2,0,49,3,4,1,2
남매의 여름밤,그린나래미디어(주),2020,8,133.0,42.0,드라마,전체관람가,9.07,7.83,8.45,2,2,42,1,2,1,2
도굴,(주)씨제이이엔엠,2020,11,1635.0,38.0,범죄,12세이상관람가,0.0,5.0,2.5,4,0,38,2,3,1,4
라스트 특공대,(주)제이앤씨미디어그룹,2021,2,5.0,38.0,전쟁,15세이상관람가,8.67,5.0,6.835,12,1,38,3,4,1,12
미스터 존스,(주)디오시네마,2021,1,277.0,38.0,드라마,15세이상관람가,7.819929577464789,5.5,6.6599647887323945,2,1,38,3,4,1,2
겨울밤에,㈜인디스토리,2020,12,49.0,36.0,드라마,12세이상관람가,7.84,7.4,7.62,2,0,36,3,4,1,2
피아니스트의 마지막 인터뷰,판씨네마(주),2020,11,55.0,36.0,드라마,전체관람가,9.03,5.5,7.265,2,2,36,2,3,1,2
가나의 혼인잔치: 언약,"(재)CBS,주식회사 블루필름웍스",2020,11,116.0,35.0,다큐멘터리,전체관람가,9.54,4.0,6.77,8,2,35,2,3,1,8
찬실이는 복도 많지,찬란,2020,3,241.0,34.0,드라마,전체관람가,9.16,7.0,8.08,2,2,34,0,1,1,2
라스트 프론티어,(주)까멜리아이엔티,2021,1,20.0,30.0,전쟁,15세이상관람가,8.22,5.0,6.61,12,1,30,3,4,1,12
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021,1,98.0,28.0,드라마,전체관람가,9.23,6.0,7.615,2,2,28,3,4,1,2
완벽한 가족,(주)제이앤씨미디어그룹,2021,1,318.0,24.0,드라마,15세이상관람가,7.26,6.0,6.63,2,1,24,3,4,1,2
귀여운 남자,(주)드림팩트엔터테인먼트,2021,1,41.0,21.0,코미디,15세이상관람가,5.38,5.79,5.585,6,1,21,3,4,1,6
데스 오브 미,(주)엔케이컨텐츠,2021,2,1.0,20.0,공포(호러),청소년관람불가,3.67,3.0,3.335,5,3,20,3,4,1,5
페이블,쇼치쿠,2021,1,1.0,20.0,코미디,15세이상관람가,6.63,5.79,6.21,6,1,20,3,4,1,6
걸,(주)리틀빅픽쳐스,2021,1,239.0,19.0,드라마,15세이상관람가,7.819929577464789,6.33,7.0749647887323945,2,1,19,3,4,1,2
나의 작은 동무,(주)라이크콘텐츠,2021,1,40.0,16.0,드라마,12세이상관람가,8.83,6.33,7.58,2,0,16,3,4,1,2
럭키 몬스터,(주)영화사 그램,2020,12,101.0,16.0,드라마,청소년관람불가,7.92,5.5,6.71,2,3,16,3,4,1,2
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021,1,308.0,15.0,애니메이션,전체관람가,9.0,6.0,7.5,0,2,14,3,4,1,0
뮤직 앤 리얼리티,"(주)미로스페이스,(주)스튜디오 보난자",2020,12,38.0,13.0,드라마,12세이상관람가,8.8,5.0,6.9,2,0,12,3,4,1,2
금의위 3인의 무사,(유)조이앤시네마,2021,1,20.0,12.0,액션,15세이상관람가,0.0,4.704545454545454,2.352272727272727,1,1,11,3,4,1,1
호프,(주)이놀미디어,2020,12,171.0,12.0,드라마,12세이상관람가,7.553602484472049,6.5,7.026801242236024,2,0,11,3,4,1,2
가을의 마티네,찬란,2020,12,19.0,11.0,멜로/로맨스,12세이상관람가,8.9,5.33,7.115,3,0,10,3,4,1,3
언플랜드,(주)영화사오원,2020,12,281.0,10.0,드라마,15세이상관람가,9.62,3.5,6.56,2,1,9,3,4,1,2
그리고 우린 춤을 추었다,(주)엣나인필름,2020,11,79.0,7.0,드라마,15세이상관람가,8.26,6.8,7.529999999999999,2,1,6,2,3,1,2
레컨,주식회사 풍경소리,2021,2,9.0,7.0,전쟁,15세이상관람가,4.58,5.0,4.79,12,1,6,3,4,1,12
로맨틱 코미디,(주)영화사 안다미로,2020,12,28.0,5.0,다큐멘터리,12세이상관람가,7.2,6.0,6.6,8,0,4,3,4,1,8
삼진그룹 영어토익반,롯데컬처웍스(주)롯데엔터테인먼트,2020,10,1615.0,4.0,드라마,12세이상관람가,9.01,7.0,8.004999999999999,2,0,3,2,3,1,2
안티고네,"그린나래미디어(주),(주)키다리이엔티",2020,11,130.0,4.0,드라마,15세이상관람가,8.57,6.5,7.535,2,1,3,2,3,1,2
잔칫날,(주)트리플픽쳐스,2020,12,240.0,3.0,드라마,12세이상관람가,9.36,6.0,7.68,2,0,2,3,4,1,2
도망친 여자,"(주)영화제작전원사 ,(주)콘텐츠판다",2020,9,143.0,2.0,드라마,청소년관람불가,8.07,7.4,7.735,2,3,1,2,3,1,2
뱅가드,(주)디스테이션,2020,12,265.0,2.0,액션,12세이상관람가,3.41,3.67,3.54,1,0,1,3,4,1,1
썸머 85,찬란,2020,12,126.0,2.0,멜로/로맨스,15세이상관람가,8.59,7.25,7.92,3,1,1,3,4,1,3
더 허니문,주식회사 루믹스미디어,2021,2,1.0,1.0,SF,청소년관람불가,7.0,5.665,6.3325,13,3,0,3,4,1,13
무사: 400 vs 1,(주)콘텐트마인,2021,2,1.0,1.0,액션,15세이상관람가,5.14,5.324375,5.2321875,1,1,0,3,4,1,1
어쌔신 게임,(주)퍼스트런,2021,2,1.0,1.0,범죄,12세이상관람가,1.33,6.01,3.67,4,0,0,3,4,1,4
미나리,판씨네마(주),2021,3,1162.0,841966.0,드라마,12세이상관람가,8.32,7.57,7.945,2,0,2067,0,1,3,2
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380.0,620173.0,애니메이션,15세이상관람가,8.392941176470588,6.0,7.196470588235294,0,1,2049,3,4,3,0
고질라 VS. 콩,워너브러더스 코리아(주),2021,3,1295.0,400883.0,액션,12세이상관람가,8.89,5.75,7.32,1,0,2027,0,1,3,1
라야와 마지막 드래곤,월트디즈니컴퍼니코리아 유한책임회사,2021,3,1056.0,303508.0,애니메이션,전체관람가,9.44,6.0,7.72,0,2,2005,0,1,3,0
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018.0,157646.0,애니메이션,전체관람가,9.32,8.5,8.91,0,2,1961,3,4,3,0
미션 파서블,(주)메리크리스마스,2021,2,930.0,113421.0,코미디,15세이상관람가,8.41,4.5,6.455,6,1,1935,3,4,3,6
더 박스,(주)씨네필운,2021,3,372.0,93198.0,드라마,12세이상관람가,5.39,5.33,5.359999999999999,2,0,1914,0,1,3,2
카오스 워킹,롯데컬처웍스(주)롯데엔터테인먼트,2021,2,780.0,47051.0,어드벤처,15세이상관람가,7.36,5.0,6.18,15,1,1858,3,4,3,15
최면,(주)스마일이엔티,2021,3,506.0,44118.0,공포(호러),15세이상관람가,5.568888888888889,6.33,5.9494444444444445,5,1,1840,0,1,3,5
톰과 제리,워너브러더스 코리아(주),2021,2,918.0,44008.0,애니메이션,전체관람가,8.03,7.0,7.515,0,2,1839,3,4,3,0
모리타니안,(주)디스테이션,2021,3,586.0,40506.0,스릴러,15세이상관람가,8.63,6.67,7.65,7,1,1824,0,1,3,7
리스타트,(주)넥스트엔터테인먼트월드(NEW),2021,3,529.0,39371.0,액션,15세이상관람가,6.574032258064515,6.0,6.287016129032258,1,1,1819,0,1,3,1
자산어보,메가박스중앙(주)플러스엠,2021,3,1250.0,37650.0,사극,12세이상관람가,9.02,7.0,8.01,18,0,1810,0,1,3,18
브레이브 언더 파이어,(주)박수엔터테인먼트,2021,3,203.0,14922.0,액션,12세이상관람가,7.5,5.5,6.5,1,0,1650,0,1,3,1
몬테크리스토: 더 뮤지컬 라이브,"CGV ICECON,씨제이포디플렉스 주식회사",2021,3,90.0,14528.0,공연,12세이상관람가,9.38,8.446250000000001,8.913125,14,0,1644,0,1,3,14
웨이 다운,(주)누리픽쳐스,2021,3,309.0,13743.0,액션,15세이상관람가,9.0,5.0,7.0,1,1,1634,0,1,3,1
아이 씨 유,(주)홈초이스,2021,3,113.0,12810.0,스릴러,15세이상관람가,6.3100000000000005,5.5,5.905,7,1,1618,0,1,3,7
고백,(주)리틀빅픽쳐스,2021,2,255.0,11604.0,드라마,15세이상관람가,8.0,8.0,8.0,2,1,1599,3,4,3,2
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149.0,10483.0,애니메이션,15세이상관람가,9.5,6.476857142857143,7.988428571428571,0,1,1572,2,3,3,0
정말 먼 곳,그린나래미디어(주),2021,3,204.0,8662.0,드라마,12세이상관람가,8.79,7.2,7.994999999999999,2,0,1531,0,1,3,2
그녀가 사라졌다,(주)스튜디오디에이치엘,2021,3,143.0,7042.0,멜로/로맨스,12세이상관람가,8.4,5.5,6.95,3,0,1459,0,1,3,3
스파이의 아내,M&M 인터내셔널,2021,3,120.0,7035.0,드라마,12세이상관람가,8.68,8.0,8.34,2,0,1458,0,1,3,2
암모나이트,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,3,207.0,5820.0,드라마,청소년관람불가,8.9,6.67,7.785,2,3,1417,0,1,3,2
파이터,㈜인디스토리,2021,3,74.0,5796.0,드라마,12세이상관람가,8.86,4.0,6.43,2,0,1416,0,1,3,2
퍼펙트 케어,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021,2,308.0,5761.0,범죄,15세이상관람가,9.06,6.0,7.53,4,1,1414,3,4,3,4
더 레이서,(주)다자인소프트,2021,2,146.0,5647.0,드라마,15세이상관람가,8.2,6.5,7.35,2,1,1411,3,4,3,2
아무도 없는 곳,(주)엣나인필름,2021,3,374.0,5077.0,드라마,15세이상관람가,7.75,5.67,6.71,2,1,1380,0,1,3,2
워 위드 그랜파,"(주)키다리이엔티,(주)태양미디어그룹",2021,2,322.0,4835.0,코미디,12세이상관람가,7.88,5.5,6.6899999999999995,6,0,1367,3,4,3,6
라스트 레터,(주)스튜디오 산타클로스엔터테인먼트,2021,2,160.0,4528.0,멜로/로맨스,전체관람가,8.3,6.17,7.235,3,2,1345,3,4,3,3
아르코 라이브 뮤지컬 호프,(주)아이디어랩,2021,3,10.0,4509.0,공연,12세이상관람가,8.502307692307692,8.446250000000001,8.474278846153847,14,0,1342,0,1,3,14
내일도 우린 사랑하고 있을까,(주)디스테이션,2021,3,129.0,4451.0,드라마,12세이상관람가,7.57,4.0,5.785,2,0,1336,0,1,3,2
와일드 마운틴 타임,"(주)영화사 빅,(주)태양미디어그룹",2021,3,272.0,4072.0,멜로/로맨스,12세이상관람가,8.03,5.67,6.85,3,0,1306,0,1,3,3
"조제, 호랑이 그리고 물고기들",(주)팝엔터테인먼트,2021,3,388.0,4001.0,애니메이션,12세이상관람가,7.77,7.0,7.385,0,0,1299,0,1,2,0
쁘떼뜨,예지림엔터테인먼트,2021,3,105.0,3915.0,멜로/로맨스,12세이상관람가,9.78,6.0,7.89,3,0,1294,0,1,2,3
해길랍,오드,2021,3,223.0,3844.0,멜로/로맨스,15세이상관람가,7.88,6.0,6.9399999999999995,3,1,1288,0,1,2,3
커피 오어 티,(주)넥스트엔터테인먼트월드(NEW),2021,3,119.0,3766.0,코미디,12세이상관람가,5.83,4.5,5.165,6,0,1275,0,1,2,6
랜드,유니버설픽쳐스인터내셔널 코리아(유),2021,3,25.0,3722.0,드라마,12세이상관람가,9.13,6.0,7.565,2,0,1272,0,1,2,2
국카스텐 콘서트 실황 : 해프닝,CGV ICECON,2021,3,54.0,3485.0,공연,전체관람가,8.502307692307692,8.446250000000001,8.474278846153847,14,2,1248,0,1,2,14
유어 아이즈 텔,"(주)리틀빅픽쳐스,주식회사 더쿱",2021,3,103.0,3370.0,멜로/로맨스,15세이상관람가,9.54,5.0,7.27,3,1,1239,0,1,2,3
아수라도,(주)제이앤씨미디어그룹,2021,3,101.0,3166.0,액션,청소년관람불가,9.6,2.0,5.8,1,3,1225,0,1,2,1
프라미싱 영 우먼,유니버설픽쳐스인터내셔널 코리아(유),2021,2,70.0,2905.0,범죄,15세이상관람가,7.83,7.0,7.415,4,1,1202,3,4,2,4
라라의 신비한 모험,와이드 릴리즈(주),2021,3,165.0,2808.0,애니메이션,전체관람가,8.33,6.430892857142857,7.380446428571428,0,2,1193,0,1,2,0
부활: 그 증거,(주)영화사 진진,2020,10,111.0,2715.0,다큐멘터리,전체관람가,9.82,4.0,6.91,8,2,1182,2,3,2,8
잃어버린 얼굴 1895,(재)서울예술단,2021,2,63.0,2613.0,뮤지컬,전체관람가,7.08,4.0,5.54,17,2,1174,3,4,2,17
트웬티 해커,(주)도어이앤엠,2021,3,74.0,2301.0,액션,15세이상관람가,5.96,5.718909090909091,5.8394545454545455,1,1,1129,0,1,2,1
어니스트 씨프,(주)올스타엔터테인먼트,2021,2,554.0,2278.0,액션,15세이상관람가,8.65,4.0,6.325,1,1,1124,3,4,2,1
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,(주)애니플러스,2021,2,91.0,2181.0,애니메이션,15세이상관람가,6.08,5.6765384615384615,5.878269230769231,0,1,1112,3,4,2,0
디 아더 사이드,찬란,2021,3,20.0,2112.0,공포(호러),12세이상관람가,5.568888888888889,5.0,5.2844444444444445,5,0,1101,0,1,2,5
세자매,(주)리틀빅픽쳐스,2021,1,569.0,2094.0,드라마,15세이상관람가,8.95,5.0,6.975,2,1,1097,3,4,2,2
아이카,(주)디오시네마,2021,3,38.0,2090.0,드라마,12세이상관람가,9.22,7.0,8.11,2,0,1096,0,1,2,2
더블패티,"케이티하이텔(주),판씨네마(주)",2021,2,265.0,2043.0,드라마,15세이상관람가,9.14,5.0,7.07,2,1,1090,3,4,2,2
북스마트,(주)콘텐츠판다,2021,1,163.0,1951.0,코미디,15세이상관람가,8.49,6.5,7.495,6,1,1075,3,4,2,6
원초적 본능,(주)제이앤씨미디어그룹,2021,3,32.0,1927.0,미스터리,청소년관람불가,6.27,7.13,6.699999999999999,9,3,1074,0,1,2,9
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120.0,1914.0,드라마,15세이상관람가,9.15,9.5,9.325,2,1,1070,3,4,2,2
반딧불이 딘딘과 용감한 곤충 탐험대,(주)씨네필운,2021,3,99.0,1849.0,애니메이션,전체관람가,7.09,4.5,5.795,0,2,1060,0,1,2,0
빛과 철,찬란,2021,2,161.0,1801.0,드라마,12세이상관람가,8.37,6.5,7.435,2,0,1051,3,4,2,2
조제,워너브러더스 코리아(주),2020,12,1179.0,1746.0,멜로/로맨스,15세이상관람가,8.2,5.6,6.8999999999999995,3,1,1040,3,4,2,3
